Age,Gender,Location,EducationLevel,ClickThroughRate,Impressions,EngagementTime,BounceRate,AdType,ContentTopic,AdSize,PurchaseHistory,BrowsingBehavior,SiteNavigationPatterns,TimeOfDay,DeviceUsed,InternetBrowser,,time of the day,,browser behaviour
62,Female,London,Secondary,0.705780423,6319,155,0.097799267,Video,Food,Large,High,Rare,Complex,Evening,Tablet,Edge,,,,
18,Male,London,Secondary,0.621427687,4325,243,0.607548945,Text,Sports,Medium,Medium,Frequent,Simple,Evening,Tablet,Chrome,,,,
21,Female,Manchester,Secondary,0.964882079,5341,275,0.367844339,Text,Fashion,Medium,Medium,Frequent,Complex,Night,Mobile,Opera,,,,
21,Male,Glasgow,Secondary,0.646455911,3069,74,0.995714191,Text,Sports,Small,High,Moderate,Simple,Afternoon,Mobile,Opera,,,,
57,Male,Birmingham,Post-secondary,0.14131405,6530,271,0.82065902,Image,Sports,Small,Medium,Moderate,Complex,Morning,Tablet,Opera,,,,
27,Other,London,Secondary,0.161218213,1211,72,0.926478445,Text,Sports,Large,High,Moderate,Moderate,Night,Desktop,Firefox,,,,
37,Other,Manchester,Post-secondary,0.09306714,4984,9,0.180463292,Text,Food,Medium,None,Frequent,Complex,Afternoon,Desktop,Firefox,,,,
39,Female,Birmingham,Post-secondary,0.191173765,5013,185,0.624730292,Image,Food,Large,Low,Rare,Complex,Morning,Mobile,Edge,,,,
54,Other,Birmingham,Post-secondary,0.597950901,5100,65,0.027877415,Video,Fashion,Medium,Medium,Rare,Complex,Morning,Desktop,Opera,,,,
41,Male,Birmingham,Secondary,0.838286475,4516,227,0.73514232,Video,Sports,Medium,Medium,Rare,Moderate,Afternoon,Tablet,Firefox,,,,
24,Female,Leeds,Secondary,0.893867652,6150,16,0.042221652,Image,Fashion,Small,Medium,Moderate,Complex,Morning,Mobile,Opera,,,,
42,Female,Birmingham,Post-secondary,0.400043887,9986,65,0.674079542,Text,Food,Large,Medium,Frequent,Complex,Evening,Mobile,Chrome,,,,
